url,rate,pub,title
https://book.douban.com/subject/3633461/,8.6,"
        
  
  刘震云 / 长江文艺出版社 / 2009-3 / 29.80

      ","

    一句顶一万句


    

  "
https://book.douban.com/subject/1440972/,9.1,"
        
  
  [阿根廷] 博尔赫斯 / 王永年、陈泉 / 浙江文艺出版社 / 2005-12 / 26.00元

      ","

    博尔赫斯小说集


    

  "
https://book.douban.com/subject/26956479/,8.7,"
        
  
  马伯庸 / 中信出版社 / 2017-3 / 48.00

      ","

    草原动物园


    

  "
https://book.douban.com/subject/26945641/,8.2,"
        
  
  [美] 大卫·福斯特·华莱士 / 林晓筱 / 浦睿文化/湖南文艺出版社 / 2017-1 / 52.00元

      ","

    所谓好玩的事，我再也不做了


    

  "
https://book.douban.com/subject/26984949/,7.6,"
        
  
  [美] 科尔森·怀特黑德 / 康慨 / 世纪文景/上海人民出版社 / 2017-3 / 39.80

      ","

    地下铁道


    

  "
https://book.douban.com/subject/24934182/,8.1,"
        
  
  【英】蕾秋·乔伊斯 / 黄妙瑜 / 北京联合出版公司 / 2013-9-1 / 32.80

      ","

    一个人的朝圣


    

  "
https://book.douban.com/subject/2143732/,8.7,"
        
  
  [美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2007-9 / 28.00元

      ","

    灿烂千阳


    

  "
https://book.douban.com/subject/1431870/,9.1,"
        
  
  [美] 安·兰德 / 高晓晴、赵雅蔷、杨玉 / 重庆出版社 / 2005-11 / 49.80元

      ","

    源泉


    

  "
https://book.douban.com/subject/26952485/,7.4,"
        
  
  周梅森 / 北京十月文艺出版社 / 2017-1-1 / CNY 46.90

      ","

    人民的名义


    

  "
https://book.douban.com/subject/1400705/,8,"
        
  
  [法] 玛格丽特·杜拉斯 / 王道乾 / 上海译文出版社 / 2005-7 / 20.00元

      ","

    情人


    

  "
https://book.douban.com/subject/26357614/,9,"
        
  
  [加拿大] 阿利斯泰尔·麦克劳德 / 陈以侃 / 上海文艺出版社 / 2015-6 / 20.00元

      ","

    海风中失落的血色馈赠


    

  "
https://book.douban.com/subject/1424741/,8.5,"
        
  
  [美] 卡森·麦卡勒斯 / 陈笑黎 / 上海三联书店 / 2005-8 / 25.00元

      ","

    心是孤独的猎手


    

  "
https://book.douban.com/subject/26886310/,8.9,"
        
  
  priest / 湖南文艺出版社 / 2016-11 / 35.00元

      ","

    有匪1


    
      "
https://book.douban.com/subject/1046265/,8,"
        
  
  [日] 村上春树 / 林少华 / 上海译文出版社 / 2001-2 / 18.80元

      ","

    挪威的森林


    

  "
https://book.douban.com/subject/26729776/,8.1,"
        
  
  [挪威] 尤·奈斯博 / 林立仁 / 湖南文艺出版社 / 2016-4 / 39.00元

      ","

    雪人


    

  "
https://book.douban.com/subject/1057244/,8.6,"
        
  
  沈从文、黄永玉 卓雅 插图. / 北岳文艺出版社 / 2002-4 / 12.00元

      ","

    边城


    

  "
https://book.douban.com/subject/26951584/,8.5,"
        
  
  毕飞宇 / 人民文学出版社 / 2017-2 / 38.00

      ","

    小说课


    

  "
https://book.douban.com/subject/4203630/,8.4,"
        
  
  [波] 布鲁诺·舒尔茨 / 杨向荣 / 新星出版社 / 2010-1 / 28.00元

      ","

    鳄鱼街


    

  "
https://book.douban.com/subject/10560798/,8.7,"
        
  
  [英] W.萨默塞特·毛姆 / 阮景林 / 重庆出版社 / 2012-5 / 32.00元

      ","

    面纱


    

  "
https://book.douban.com/subject/3836566/,8.6,"
        
  
  [意] 翁贝托·埃科 / 沈萼梅、刘锡荣 / 上海译文出版社 / 2010-03 / 33.00元

      ","

    玫瑰的名字


    

  "
https://book.douban.com/subject/26837288/,8.3,"
        
  
  [尼日利亚] 奇戈希·奥比奥玛 / 吴晓真 / 湖南文艺出版社 / 2016-9 / 36.00元

      ","

    钓鱼的男孩


    

  "
https://book.douban.com/subject/26963321/,8.9,"
        
  
  [日] 是枝裕和 / 郑有杰 / 北京联合出版公司 / 2017-5 / 36.80元

      ","

    步履不停


    

  "
https://book.douban.com/subject/26990080/,8.9,"
        
  
  凉炘 / 四川文艺出版社 / 2017-4-1 / 39

      ","

    坏一坏


    

  "
https://book.douban.com/subject/4742918/,8.3,"
        
  
  [日] 村上春树 / 施小炜 / 南海出版公司 / 2010-5 / 36.00元

      ","

    1Q84 BOOK 1


    
      "
https://book.douban.com/subject/4105446/,8.1,"
        
  
  （美）理查德·耶茨、Richard Yates / 陈新宇 / 上海译文出版社 / 2010-1 / 20.00元

      ","

    十一种孤独


    

  "
https://book.douban.com/subject/26760976/,8.4,"
        
  
  [日] 吉田修一 / 岳远坤 / 世纪文景/上海人民出版社 / 2016-7-31 / 42.00元

      ","

    怒


    

  "
https://book.douban.com/subject/1321789/,8.6,"
        
  
  [英] 阿道司·赫胥黎 / 王波 / 重庆出版社 / 2005-6 / 20.00元

      ","

    美丽新世界


    

  "
https://book.douban.com/subject/26890281/,8.1,"
        
  
  [美] 本·方登 / 张晓意 / 南海出版公司 / 2016-11-1 / 45.00元

      ","

    漫长的中场休息


    

  "
https://book.douban.com/subject/1082334/,8.3,"
        
  
  霍达 / 北京十月文艺出版社 / 1988-12-1 / 32.00

      ","

    穆斯林的葬礼


    

  "
https://book.douban.com/subject/27017381/,9.6,"
        
  
  [英] 罗莎蒙德·勒普顿 / 刘丽洁 / 博集天卷/湖南文艺出版社 / 2017-5

      ","

    从此以后


    

  "
https://book.douban.com/subject/25829693/,9,"
        
  
  [美] 艾萨克·阿西莫夫 / 崔正男 / 江苏文艺出版社 / 2014-9-1 / CNY 32.00

      ","

    永恒的终结


    
      "
https://book.douban.com/subject/10774752/,9.1,"
        
  
  (英)威廉·萨默塞特·毛姆 / 冯亦代、傅惟慈、陆谷孙 / 译林出版社 / 2012-11 / 36.00元

      ","

    毛姆短篇小说精选集


    

  "
https://book.douban.com/subject/26787935/,8.4,"
        
  
  [美] 丹尼斯·勒翰 / 尤传莉 / 江苏凤凰文艺出版社 / 2016-10-15 / 49.90元

      ","

    夜色人生


    

  "
https://book.douban.com/subject/26394018/,9.1,"
        
  
  [俄罗斯] 瓦西里·格罗斯曼 / 力冈 / 广西师范大学出版社 / 2015-8-20 / 118.00元

      ","

    生活与命运


    

  "
https://book.douban.com/subject/1029791/,8.7,"
        
  
  余华 / 南海出版公司 / 1998-9 / 16.80元

      ","

    许三观卖血记


    

  "
https://book.douban.com/subject/4010969/,7.8,"
        
  
  [美] 雷蒙德·卡佛 / 小二 / 译林出版社 / 2010-1 / 22.00元

      ","

    当我们谈论爱情时我们在谈论什么


    

  "
https://book.douban.com/subject/1442869/,8.9,"
        
  
  [美] 丹尼尔·凯斯 / 周月玲 / 辽宁教育出版社 / 2005-8 / 25.00元

      ","

    献给阿尔吉侬的花束


    

  "
https://book.douban.com/subject/20428302/,9.1,"
        
  
  (葡)若泽·萨拉马戈 / 范维信 / 南海出版公司 / 2014-2 / 29.50

      ","

    失明症漫记


    

  "
